name,category,district,entrance_fee,accessibility,trekking_difficulty,description,image_path
Gampaha,attraction,Gampaha,0.0,Moderate,N/A,"Nearby Accommodation: THE WALAWWA (Boutique Hotels), COMILLA BUNGALOW (Bangalows), SACHAL MIR'S (Bangalows)",data/images/gampaha.jpg
Gampaha Botanical Garden,attraction,Gampaha,0.0,Moderate,N/A,Gampaha Botanical Garden located in Gampaha.,data/images/gampaha_botanical_garden.jpg
Gangarama Sima Malaka,attraction,colombo,0.0,Moderate,N/A,Gangarama Sima Malaka located in colombo.,data/images/gangarama_sima_malaka.jpg
Gangarama Temple,attraction,colombo,0.0,Moderate,N/A,Gangarama Temple located in colombo.,data/images/gangarama_temple.jpg
Gartmore Falls,attraction,Hatton,0.0,Moderate,N/A,Gartmore Falls located in Hatton.,data/images/gartmore_falls.jpg
Glassaugh Falls,attraction,Hatton,0.0,Moderate,N/A,Glassaugh Falls located in Hatton.,data/images/glassaugh_falls.jpg
Goraka Ella,attraction,Gampaha,0.0,Moderate,N/A,Goraka Ella located in Gampaha.,data/images/goraka_ella.jpg
Guruge Park,attraction,Gampaha,0.0,Moderate,N/A,Guruge Park located in Gampaha.,data/images/guruge_park.jpg
Hambantota,attraction,Hambantota,0.0,Moderate,N/A,"Nearby Accommodation: AMANWELLA (Boutique Hotels), BUCKINGAM PLACE (Boutique Hotels), SOORIYA RESORT & SPA (Boutique Hotels)",data/images/hambantota.jpg
Hambantota Beach,attraction,Hambantota,0.0,Moderate,N/A,Hambantota Beach located in Hambantota.,data/images/hambantota_beach.jpg
Hambantota Beach Children Park,attraction,Hambantota,0.0,Moderate,N/A,Hambantota Beach Children Park located in Hambantota.,data/images/hambantota_beach_children_park.jpg
Hambantota Port View,attraction,Hambantota,0.0,Moderate,N/A,Hambantota Port View located in Hambantota.,data/images/hambantota_port_view.jpg
Hamilton Canal Park,attraction,colombo,0.0,Moderate,N/A,Hamilton Canal Park located in colombo.,data/images/hamilton_canal_park.jpg
Hatton Siripada view point,attraction,Hatton,0.0,Moderate,N/A,Hatton Siripada view point located in Hatton.,data/images/hatton_siripada_view_point.jpg
Hiriketiya Beach,attraction,Matara,0.0,Moderate,N/A,Hiriketiya Beach located in Matara.,data/images/hiriketiya_beach.jpg
Historical Mansion Meseum,attraction,Galle,0.0,Moderate,N/A,Historical Mansion Meseum located in Galle.,data/images/historical_mansion_meseum.jpg
Horagolla National Park,attraction,Gampaha,0.0,Moderate,N/A,Horagolla National Park located in Gampaha.,data/images/horagolla_national_park.jpg
Horton plains national park,attraction,Hatton,0.0,Moderate,N/A,Horton plains national park located in Hatton.,data/images/horton_plains_national_park.jpg
Hulangala mini world end entrance,attraction,Kurunagela,0.0,Moderate,N/A,Hulangala mini world end entrance located in Kurunagela.,data/images/hulangala_mini_world_end_entrance.jpg
Hulangala mini world's end view,attraction,Matale,0.0,Moderate,N/A,Hulangala mini world's end view located in Matale.,data/images/hulangala_mini_worlds_end_view.jpg
Hummanaya Blow Hole,attraction,Matara,0.0,Moderate,N/A,Hummanaya Blow Hole located in Matara.,data/images/hummanaya_blow_hole.jpg
Hunnasgiriya water falls,attraction,Matale,0.0,Moderate,N/A,Hunnasgiriya water falls located in Matale.,data/images/hunnasgiriya_water_falls.jpg
Ibbagala rajamaha viharaya,attraction,Kurunagela,0.0,Moderate,N/A,Ibbagala rajamaha viharaya located in Kurunagela.,data/images/ibbagala_rajamaha_viharaya.jpg
Independence Square,attraction,colombo,0.0,Moderate,N/A,Independence Square located in colombo.,data/images/independence_square.jpg
Jaffna,attraction,Jaffna,0.0,Moderate,N/A,"Nearby Accommodation: SP TOURS AND REST (Bangalows), MARGOSA (Bangalows), JAFFNA REST (Guest Houses)",data/images/jaffna.jpg
Japanese Peace Pagoda - Rumassala,attraction,Galle,0.0,Moderate,N/A,Japanese Peace Pagoda - Rumassala located in Galle.,data/images/japanese_peace_pagoda_-_rumassala.jpg
Jodu ella water falls,attraction,Matale,0.0,Moderate,N/A,Jodu ella water falls located in Matale.,data/images/jodu_ella_water_falls.jpg
"Jungle Beach, Unawatuna",attraction,Galle,0.0,Moderate,N/A,"Jungle Beach, Unawatuna located in Galle.","data/images/jungle_beach,_unawatuna.jpg"
K & R Tours Hambantota,attraction,Hambantota,0.0,Moderate,N/A,K & R Tours Hambantota located in Hambantota.,data/images/k_&_r_tours_hambantota.jpg
Kadiyanlena eco resort,attraction,Hatton,0.0,Moderate,N/A,Kadiyanlena eco resort located in Hatton.,data/images/kadiyanlena_eco_resort.jpg
Kalutara,attraction,Kalutara,0.0,Moderate,N/A,"Nearby Accommodation: REEF VILLA & SPA (Boutique Villas), NETH PIYASA (Bangalows), MATHUGAMA PIYASA (Bangalows)",data/images/kalutara.jpg
Kalutara Bodhiya,attraction,Kalutara,0.0,Moderate,N/A,Kalutara Bodhiya located in Kalutara.,data/images/kalutara_bodhiya.jpg
Kande sudu ella water falls,attraction,Matale,0.0,Moderate,N/A,Kande sudu ella water falls located in Matale.,data/images/kande_sudu_ella_water_falls.jpg
Kandy,attraction,Kandy,0.0,Moderate,N/A,"Nearby Accommodation: THE THEVA RESIDENCY (Boutique Hotels), MOUNT HAVANA LUXURY BOUTIQUE VILLA (Boutique Villas), MOUNT BATTEN BUNGALOW (Boutique Villas)",data/images/kandy.jpg
Kathiresan Pillayar kovil,attraction,colombo,0.0,Moderate,N/A,Kathiresan Pillayar kovil located in colombo.,data/images/kathiresan_pillayar_kovil.jpg
Katugas Ella Waterfall,attraction,Rathnapura,0.0,Moderate,N/A,Katugas Ella Waterfall located in Rathnapura.,data/images/katugas_ella_waterfall.jpg
Kayman's Gate,attraction,colombo,0.0,Moderate,N/A,Kayman's Gate located in colombo.,data/images/kaymans_gate.jpg
Kegalle,attraction,Kegalle,0.0,Moderate,N/A,"Nearby Accommodation: ROSYTH ESTATE HOUSE (Boutique Villas), ELEPHANT REACH VILLA (Bangalows), DIYAGAL VILLA (Bangalows)",data/images/kegalle.jpg
Kelaniya Raja Maha Viharaya,attraction,colombo,0.0,Moderate,N/A,Kelaniya Raja Maha Viharaya located in colombo.,data/images/kelaniya_raja_maha_viharaya.jpg
Kiddies paradise children's park,attraction,Matale,0.0,Moderate,N/A,Kiddies paradise children's park located in Matale.,data/images/kiddies_paradise_childrens_park.jpg
Kilinochchi,attraction,Kilinochchi,0.0,Moderate,N/A,"Nearby Accommodation: HOTEL SELLA REST (Guest Houses), A9 SPOT (Guest Houses), ALL IN ONE REST (Guest Houses)",data/images/kilinochchi.jpg
Kirala Kele Sanctuary,attraction,Matara,0.0,Moderate,N/A,Kirala Kele Sanctuary located in Matara.,data/images/kirala_kele_sanctuary.jpg
Kirinda Beach,attraction,Hambantota,0.0,Moderate,N/A,Kirinda Beach located in Hambantota.,data/images/kirinda_beach.jpg
Kirindi Ella Waterfall,attraction,Rathnapura,0.0,Moderate,N/A,Kirindi Ella Waterfall located in Rathnapura.,data/images/kirindi_ella_waterfall.jpg
Kolapathana waterfall,attraction,Hatton,0.0,Moderate,N/A,Kolapathana waterfall located in Hatton.,data/images/kolapathana_waterfall.jpg
Kombukara Nature Pool and Secre,attraction,Badulla,0.0,Moderate,N/A,Kombukara Nature Pool and Secre located in Badulla.,data/images/kombukara_nature_pool_and_secre.jpg
Kurunagela camp site,attraction,Kurunagela,0.0,Moderate,N/A,Kurunagela camp site located in Kurunagela.,data/images/kurunagela_camp_site.jpg
Kurunagela clock tower,attraction,Kurunagela,0.0,Moderate,N/A,Kurunagela clock tower located in Kurunagela.,data/images/kurunagela_clock_tower.jpg
Kurunagela lake jogging path,attraction,Kurunagela,0.0,Moderate,N/A,Kurunagela lake jogging path located in Kurunagela.,data/images/kurunagela_lake_jogging_path.jpg
Kurundu Oya Ella Falls,attraction,Badulla,0.0,Moderate,N/A,Kurundu Oya Ella Falls located in Badulla.,data/images/kurundu_oya_ella_falls.jpg
Kurunegala,attraction,Kurunegala,0.0,Moderate,N/A,"Nearby Accommodation: BROOK BOUTIQUE (Boutique Hotels), RICHARDS (Bangalows), COCO PALMS (Bangalows)",data/images/kurunegala.jpg
Lagoon boat tour and Bird watching with the beautiful nature,attraction,Hambantota,0.0,Moderate,N/A,Lagoon boat tour and Bird watching with the beautiful nature located in Hambantota.,data/images/lagoon_boat_tour_and_bird_watching_with_the_beautiful_nature.jpg
Lake round kurunagela,attraction,Kurunagela,0.0,Moderate,N/A,Lake round kurunagela located in Kurunagela.,data/images/lake_round_kurunagela.jpg
Lanka Ella - Waterfall,attraction,Badulla,0.0,Moderate,N/A,Lanka Ella - Waterfall located in Badulla.,data/images/lanka_ella_-_waterfall.jpg
Laxapana waterfall,attraction,Hatton,0.0,Moderate,N/A,Laxapana waterfall located in Hatton.,data/images/laxapana_waterfall.jpg
Lighthouse - Galle,attraction,Galle,0.0,Moderate,N/A,Lighthouse - Galle located in Galle.,data/images/lighthouse_-_galle.jpg
Lighthouse - Hambantota,attraction,Hambantota,0.0,Moderate,N/A,Lighthouse - Hambantota located in Hambantota.,data/images/lighthouse_-_hambantota.jpg
